,GSE Day,GSE Time,TLM frame counter,"Pc,rde","Pc,pde","a_x,ci","a_y,ci","a_z,ci","omg_x,ci","omg_y,ci","omg_z,ci",DES loop counter
0,295,53074.002,14688,0.090423583984375,,0.0,17680.0,17680.0,17680.0,17680.0,17680.0,2209
1,295,53074.003,14689,,0.0972900390625,0.0,1808.0,1808.0,1808.0,1808.0,1808.0,2210
2,295,53074.003,14690,0.0927886962890625,,0.0,28688.0,28688.0,28688.0,28688.0,28688.0,2211
3,295,53074.004,14691,,0.09297943115234375,0.0,12816.0,12816.0,12816.0,12816.0,12816.0,2212
4,295,53074.004,14692,0.102020263671875,,0.0,38160.0,38160.0,38160.0,38160.0,38160.0,2213
5,295,53074.005,14693,,0.08985137939453125,0.0,22288.0,22288.0,22288.0,22288.0,22288.0,2214
6,295,53074.006,14694,0.0996551513671875,,0.0,8208.0,8208.0,8208.0,8208.0,8208.0,2215
7,295,53074.006,14695,,0.0886688232421875,0.0,33296.0,33296.0,33296.0,33296.0,33296.0,2216
0,295,53074.007,14696,0.09515380859375,,0.0,17680.0,17680.0,17680.0,17680.0,17680.0,2217
1,295,53074.008,14697,,0.09961700439453125,0.0,1808.0,1808.0,1808.0,1808.0,1808.0,2218
2,295,53074.008,14698,0.08966064453125,,0.0,28688.0,28688.0,28688.0,28688.0,28688.0,2219
3,295,53074.009,14699,,0.1002655029296875,0.0,12816.0,12816.0,12816.0,12816.0,12816.0,2220
4,295,53074.009,14700,0.0850067138671875,,0.0,38160.0,38160.0,38160.0,38160.0,38160.0,2221
5,295,53074.01,14701,,0.09778594970703125,0.0,22288.0,22288.0,22288.0,22288.0,22288.0,2222
6,295,53074.011,14702,0.1005706787109375,,0.0,8208.0,8208.0,8208.0,8208.0,8208.0,2223
7,295,53074.011,14703,,0.09229278564453125,0.0,33296.0,33296.0,33296.0,33296.0,33296.0,2224
0,295,53074.012,14704,0.10144805908203125,,0.0,17680.0,17680.0,17680.0,17680.0,17680.0,2225
1,295,53074.013,14705,,0.08641815185546875,0.0,1808.0,1808.0,1808.0,1808.0,1808.0,2226
2,295,53074.013,14706,0.099273681640625,,0.0,28688.0,28688.0,28688.0,28688.0,28688.0,2227
3,295,53074.014,14707,,0.09687042236328125,0.0,12816.0,12816.0,12816.0,12816.0,12816.0,2228
4,295,53074.014,14708,0.0949249267578125,,0.0,38160.0,38160.0,38160.0,38160.0,38160.0,2229
5,295,53074.015,14709,,0.1011810302734375,0.0,22288.0,22288.0,22288.0,22288.0,22288.0,2230
6,295,53074.016,14710,0.08817291259765625,,0.0,8208.0,8208.0,8208.0,8208.0,8208.0,2231
7,295,53074.016,14711,,0.09908294677734375,0.0,33296.0,33296.0,33296.0,33296.0,33296.0,2232
0,295,53074.017,14712,0.09542083740234375,,0.0,17680.0,17680.0,17680.0,17680.0,17680.0,2233
1,295,53074.018000000004,14713,,0.0944671630859375,0.0,1808.0,1808.0,1808.0,1808.0,1808.0,2234
2,295,53074.018000000004,14714,0.10205841064453125,,0.0,28688.0,28688.0,28688.0,28688.0,28688.0,2235
3,295,53074.019,14715,,0.090118408203125,0.0,12816.0,12816.0,12816.0,12816.0,12816.0,2236
4,295,53074.019,14716,0.10022735595703125,,0.0,38160.0,38160.0,38160.0,38160.0,38160.0,2237
5,295,53074.02,14717,,0.093017578125,0.0,22288.0,22288.0,22288.0,22288.0,22288.0,2238
6,295,53074.02099999999,14718,0.0982818603515625,,0.0,8208.0,8208.0,8208.0,8208.0,8208.0,2239
7,295,53074.02099999999,14719,,0.099578857421875,0.0,33296.0,33296.0,33296.0,33296.0,33296.0,2240
0,295,53074.022,14720,0.09358978271484375,,0.0,17680.0,17680.0,17680.0,17680.0,17680.0,2241
1,295,53074.022999999994,14721,,0.0998077392578125,0.0,1808.0,1808.0,1808.0,1808.0,1808.0,2242
2,295,53074.022999999994,14722,0.0874481201171875,,0.0,28688.0,28688.0,28688.0,28688.0,28688.0,2243
3,295,53074.024,14723,,0.0946197509765625,0.0,12816.0,12816.0,12816.0,12816.0,12816.0,2244
